Asignatura	Tema	Termino	Concepto
fisica	luz	reflexion	la reflexion de la luz tiene que ver con la fisica
fisica	luz	ondas de luz	las ondas de luz son propagadas y se estudian a traves de los principios de la fisica
fisica	luz	ondas	las ondas electromagneticas son las siguientes
fisica	luz	ok	ya muestrense
fisica	luz	reflexion	reflexion interna total
fisica	microondas	las microondas	las microondas son generadas a traves de dispositivos electronicos especificos
mate	conjunto de numeros	rumeros reales	es un conjunto infinito de numeros y todos pertenecen al conjunto de los reales
Matematicas	Factor Comun	Los numeros	Es una union de los numeros en comun donde la respuesta es lo que sobra
ciencias	animales	vertebrados	son los que tienen columna vertebral
ingles	verbos	presente simple	los verbos en presente estan en su forma normal
